Gene Symbol,Gene ID (HGNC),Disease Label,Disease ID (MONDO),MOI,SOP,Classification,Online Report_x,Classification Date,GCEP,Gene/Region,HGNC/ISCA,GRCh37,GRCh38,Haploinsufficiency,Triplosensitivity,Online Report_y,Date,Protein Name
SLC4A10,HGNC:13811,complex neurodevelopmental disorder,MONDO:0100038,AR,SOP11,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9fe612c6-134c-43ef-b3b5-bb1bd66b4d70-2024-12-17T170000.000Z,2024-12-17T17:00:00.000Z,Epilepsy Gene Curation Expert Panel,SLC4A10,HGNC:13811,chr2:162480926-162841780,chr2:161624416-161985270,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SLC4A10&subject=,2012-04-11T18:15:38Z,Not Found
RPE65,HGNC:10294,RPE65-related dominant retinopathy,MONDO:0100452,AD,SOP8,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a45f0ada-a32b-406e-b714-790a0cd4a6a2-2022-02-07T024303.928Z,2022-02-07T02:43:03.928Z,Retina Gene Curation Expert Panel,RPE65,HGNC:10294,chr1:68894505-68915637,chr1:68428822-68449954,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RPE65&subject=,2025-02-27T20:50:52Z,Not Found
MYLK,HGNC:7590,familial thoracic aortic aneurysm and aortic dissection,MONDO:0019625,AD,SOP4,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8257,2016-12-18T00:00:00,Heritable Thoracic Aortic Aneurysm and Dissection Gene Curation Expert Panel,MYLK,HGNC:7590,chr3:123328896-123603179,chr3:123610049-123884332,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=MYLK&subject=,2016-01-14T20:14:59Z,Not Found
SCN1A,HGNC:10585,developmental and epileptic encephalopathy,MONDO:0100062,AD,SOP7,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_529f9cae-ac00-47d1-94d5-52c98bf6e2a2-2019-10-25T040000.000Z,2019-10-25T04:00:00.000Z,Epilepsy Gene Curation Expert Panel,SCN1A,HGNC:10585,chr2:166841151-167005671,chr2:165984641-166149161,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SCN1A&subject=,2012-07-06T20:26:07Z,Not Found
RINT1,HGNC:21876,hereditary breast carcinoma,MONDO:0016419,AD,SOP9,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d523910c-67e4-4cec-82a2-d7803957ec02-2023-03-14T170000.000Z,2023-03-14T17:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,RINT1,HGNC:21876,chr7:105172648-105208124,chr7:105532201-105567677,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RINT1&subject=,2024-07-10T14:06:47Z,Not Found
RYR2,HGNC:10484,arrhythmogenic right ventricular cardiomyopathy,MONDO:0016587,AD,SOP7,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_52fa7dee-4daa-4685-9461-f39c57a22f05-2019-07-19T160000.000Z,2019-07-19T16:00:00.000Z,Arrhythmogenic Right Ventricular Cardiomyopathy Gene Curation Expert Panel,RYR2,HGNC:10484,chr1:237205484-237997288,chr1:237042184-237833988,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RYR2&subject=,2015-11-06T03:54:07Z,Not Found
MUTYH,HGNC:7527,hereditary breast carcinoma,MONDO:0016419,AD,SOP9,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b818b8fc-7453-46be-8636-08644fd7a1d4-2023-12-21T180000.000Z,2023-12-21T18:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,MUTYH,HGNC:7527,chr1:45794914-45806112,chr1:45329242-45340440,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=MUTYH&subject=,2015-11-11T17:23:11Z,Not Found
EPCAM,HGNC:11529,hereditary breast carcinoma,MONDO:0016419,AD,SOP9,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_efe1b152-d818-49bd-9f6f-cebe944b3404-2023-12-21T180000.000Z,2023-12-21T18:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,EPCAM,HGNC:11529,chr2:47596450-47614159,chr2:47369311-47387020,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=EPCAM&subject=,2019-10-08T18:30:22Z,Not Found
GEN1,HGNC:26881,hereditary breast carcinoma,MONDO:0016419,AD,SOP9,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b8a2aec0-413b-41f2-ba51-e8a71e52cf1a-2023-12-21T180000.000Z,2023-12-21T18:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,GEN1,HGNC:26881,chr2:17935136-17970213,chr2:17753278-17788946,Dosage Sensitivity Unlikely,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=GEN1&subject=,2021-02-02T19:39:52Z,Not Found
GJB6,HGNC:4288,nonsyndromic genetic hearing loss,MONDO:0019497,AR,SOP5,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f281869c-25e5-44ad-94e7-c7d6374755fd-2018-04-17T160000.000Z,2018-04-17T16:00:00.000Z,Hearing Loss Gene Curation Expert Panel,GJB6,HGNC:4288,chr13:20796101-20806458,chr13:20221962-20232319,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=GJB6&subject=,2014-01-30T20:18:54Z,Not Found
CNTNAP5,HGNC:18748,complex neurodevelopmental disorder,MONDO:0100038,AD,SOP10,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1df71cc1-112f-4382-a047-e078a820699c-2024-08-20T040000.000Z,2024-08-20T04:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,CNTNAP5,HGNC:18748,chr2:124782864-125678796,chr2:124025287-124921219,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CNTNAP5&subject=,2024-09-24T09:25:24Z,Not Found
SRPX2,HGNC:30668,epilepsy,MONDO:0005027,XL,SOP9,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e9555886-a248-4bd4-b3dc-50ff503d6e7a-2023-10-17T170000.000Z,2023-10-17T17:00:00.000Z,Epilepsy Gene Curation Expert Panel,SRPX2,HGNC:30668,chrX:99899196-99930785,chrX:100644199-100675788,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SRPX2&subject=,2012-07-25T14:26:57Z,Not Found
CHRNA7,HGNC:1960,epilepsy,MONDO:0005027,UD,SOP9,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_33edac94-9867-4b3f-9d46-2d7a86f4301b-2023-02-07T170000.000Z,2023-02-07T17:00:00.000Z,Epilepsy Gene Curation Expert Panel,CHRNA7,HGNC:1960,chr15:32322686-32465219,chr15:32030483-32173018,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CHRNA7&subject=,2018-05-10T21:26:46Z,Not Found
MLH1,HGNC:7127,hereditary breast carcinoma,MONDO:0016419,AD,SOP10,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c27a22e4-fc45-4888-8b1d-625bc649697c-2023-12-21T180000.000Z,2023-12-21T18:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,MLH1,HGNC:7127,chr3:37035009-37092337,chr3:36993466-37050846,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=MLH1&subject=,2021-10-13T18:22:36Z,Not Found
NBN,HGNC:7652,hereditary breast carcinoma,MONDO:0016419,AD,SOP9,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fc101ed8-f6ae-49b8-8850-384da62eb9b9-2023-03-14T170000.000Z,2023-03-14T17:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,NBN,HGNC:7652,chr8:90945559-90996895,chr8:89933331-89984667,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=NBN&subject=,2024-04-10T16:18:49Z,Not Found
CHEK2,HGNC:16627,familial ovarian cancer,MONDO:0016248,AD,SOP10,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9e1071da-cc4a-4bbc-b3fa-4cc07393e74a-2024-11-04T180000.000Z,2024-11-04T18:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,CHEK2,HGNC:16627,chr22:29083731-29137822,chr22:28687743-28741834,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CHEK2&subject=,2020-01-08T17:26:33Z,Not Found
BRIP1,HGNC:20473,hereditary breast carcinoma,MONDO:0016419,AD,SOP9,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_87aa8181-721b-4583-98cf-0dead1827e27-2023-12-21T180000.000Z,2023-12-21T18:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,BRIP1,HGNC:20473,chr17:59756500-59940889,chr17:61679139-61863528,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=BRIP1&subject=,2019-02-15T21:58:42Z,Not Found
CPA6,HGNC:17245,epilepsy,MONDO:0005027,AD,SOP8,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1cb32379-82a8-425d-ac80-3d740e1cc10b-2021-07-29T132527.108Z,2021-07-29T13:25:27.108Z,Epilepsy Gene Curation Expert Panel,CPA6,HGNC:17245,chr8:68334273-68658595,chr8:67422038-67746360,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CPA6&subject=,2019-09-04T15:09:34Z,Not Found
MRE11,HGNC:7230,familial ovarian cancer,MONDO:0016248,AD,SOP10,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f5b721c7-52ab-4475-a87e-cb0fa3be198f-2023-12-15T180000.000Z,2023-12-15T18:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,MRE11,HGNC:7230,chr11:94148736-94227010,chr11:94415570-94512412,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=MRE11&subject=,2023-12-19T14:45:21Z,Not Found
MRE11,HGNC:7230,hereditary breast carcinoma,MONDO:0016419,AD,SOP9,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e720d1f7-62b3-4a0f-97de-e1144d0475a9-2023-03-14T170000.000Z,2023-03-14T17:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,MRE11,HGNC:7230,chr11:94148736-94227010,chr11:94415570-94512412,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=MRE11&subject=,2023-12-19T14:45:21Z,Not Found
MSH2,HGNC:7325,hereditary breast carcinoma,MONDO:0016419,AD,SOP9,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9cb3ff3b-3e0e-42f2-85d5-3ffb1506a255-2023-03-14T170000.000Z,2023-03-14T17:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,MSH2,HGNC:7325,chr2:47630206-47710367,chr2:47403067-47709830,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=MSH2&subject=,2021-10-13T18:24:26Z,Not Found
PIK3CA,HGNC:8975,hereditary breast carcinoma,MONDO:0016419,AD,SOP9,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7ce3540a-5a7f-4f47-aeb3-520767016539-2023-12-21T180000.000Z,2023-12-21T18:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,PIK3CA,HGNC:8975,chr3:178866145-178957881,chr3:179148126-179240093,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=PIK3CA&subject=,2015-03-12T13:17:52Z,Not Found
MYL2,HGNC:7583,arrhythmogenic right ventricular cardiomyopathy,MONDO:0016587,AD,SOP7,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b1db17cf-199d-4bd7-9673-e8f06219fc26-2019-05-24T160000.000Z,2019-05-24T16:00:00.000Z,Arrhythmogenic Right Ventricular Cardiomyopathy Gene Curation Expert Panel,MYL2,HGNC:7583,chr12:111348649-111358383,chr12:110910845-110921449,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=MYL2&subject=,2015-11-20T22:18:36Z,Not Found
CRKL,HGNC:2363,congenital heart disease,MONDO:0005453,UD,SOP9,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_453641ec-805e-4712-841d-a228b48f5cc4-2023-10-17T040000.000Z,2023-10-17T04:00:00.000Z,Congenital Heart Disease Gene Curation Expert Panel,CRKL,HGNC:2363,chr22:21271695-21308035,chr22:20917407-20953747,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CRKL&subject=,2020-04-13T18:49:39Z,Not Found
TNNT2,HGNC:11949,arrhythmogenic right ventricular cardiomyopathy,MONDO:0016587,AD,SOP7,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d2bde3ff-f75f-40c3-a8fe-10a72e883b3c-2019-07-16T160000.000Z,2019-07-16T16:00:00.000Z,Arrhythmogenic Right Ventricular Cardiomyopathy Gene Curation Expert Panel,TNNT2,HGNC:11949,chr1:201328142-201346808,chr1:201359014-201377680,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TNNT2&subject=,2015-11-16T01:19:20Z,Not Found
PIK3CA,HGNC:8975,familial ovarian cancer,MONDO:0016248,AD,SOP4,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8694,2017-02-08T00:00:00,Breast/Ovarian Cancer Gene Curation Expert Panel,PIK3CA,HGNC:8975,chr3:178866145-178957881,chr3:179148126-179240093,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=PIK3CA&subject=,2015-03-12T13:17:52Z,Not Found
TNNI3,HGNC:11947,arrhythmogenic right ventricular cardiomyopathy,MONDO:0016587,AD,SOP7,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_21c990ca-e407-4a21-a3e2-237700a75d43-2019-07-16T160000.000Z,2019-07-16T16:00:00.000Z,Arrhythmogenic Right Ventricular Cardiomyopathy Gene Curation Expert Panel,TNNI3,HGNC:11947,chr19:55663135-55669100,chr19:55151767-55157732,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TNNI3&subject=,2023-05-25T13:36:35Z,Not Found
SDHC,HGNC:10682,mitochondrial disease,MONDO:0044970,UD,SOP8,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_909982e0-a53c-4a87-bf28-cdb563c8ae62-2022-03-07T170000.000Z,2022-03-07T17:00:00.000Z,Mitochondrial Diseases Gene Curation Expert Panel,SDHC,HGNC:10682,chr1:161284171-161345130,chr1:161314381-161363206,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SDHC&subject=,2021-10-13T16:46:56Z,Not Found
CHEK1,HGNC:1925,familial ovarian cancer,MONDO:0016248,AD,SOP4,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8504,2016-10-12T00:00:00,Breast/Ovarian Cancer Gene Curation Expert Panel,CHEK1,HGNC:1925,chr11:125495031-125546150,chr11:125625136-125681124,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CHEK1&subject=,2021-11-10T17:45:07Z,Not Found
CHEK1,HGNC:1925,hereditary breast carcinoma,MONDO:0016419,AD,SOP4,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8505,2016-10-12T00:00:00,Breast/Ovarian Cancer Gene Curation Expert Panel,CHEK1,HGNC:1925,chr11:125495031-125546150,chr11:125625136-125681124,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CHEK1&subject=,2021-11-10T17:45:07Z,Not Found
ACTC1,HGNC:143,arrhythmogenic right ventricular cardiomyopathy,MONDO:0016587,AD,SOP7,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_748d4255-ef43-4b42-b9f1-1cdbc50de763-2019-03-15T160000.000Z,2019-03-15T16:00:00.000Z,Arrhythmogenic Right Ventricular Cardiomyopathy Gene Curation Expert Panel,ACTC1,HGNC:143,chr15:35082431-35087750,chr15:34790230-34795549,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACTC1&subject=,2024-09-10T16:57:33Z,Not Found
RECQL,HGNC:9948,familial ovarian cancer,MONDO:0016248,AD,SOP4,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8701,2016-09-14T00:00:00,Breast/Ovarian Cancer Gene Curation Expert Panel,RECQL,HGNC:9948,chr12:21621844-21654569,chr12:21468910-21501635,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RECQL&subject=,2024-09-11T16:24:46Z,Not Found
CTNNA1,HGNC:2509,hereditary nonpolyposis colon cancer,MONDO:0018630,AD,SOP4,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_9868,2017-04-24T00:00:00,Colon Cancer Gene Curation Expert Panel,CTNNA1,HGNC:2509,chr5:138089114-138270723,chr5:138753425-138935034,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CTNNA1&subject=,2022-10-12T16:23:54Z,Not Found
NF1,HGNC:7765,familial ovarian cancer,MONDO:0016248,AD,SOP4,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_10082,2017-02-22T00:00:00,Breast/Ovarian Cancer Gene Curation Expert Panel,NF1,HGNC:7765,chr17:29421945-29704695,chr17:31094927-31377677,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=NF1&subject=,2023-02-12T05:32:18Z,Not Found
CDH1,HGNC:1748,familial ovarian cancer,MONDO:0016248,AD,SOP4,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8503,2017-08-03T00:00:00,Breast/Ovarian Cancer Gene Curation Expert Panel,CDH1,HGNC:1748,chr16:68771195-68869440,chr16:68737292-68835537,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CDH1&subject=,2020-04-10T15:02:12Z,Not Found
MCPH1,HGNC:6954,familial ovarian cancer,MONDO:0016248,AD,SOP4,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8525,2017-01-11T00:00:00,Breast/Ovarian Cancer Gene Curation Expert Panel,MCPH1,HGNC:6954,chr8:6264148-6506029,chr8:6406627-6648508,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=MCPH1&subject=,2016-08-22T17:50:15Z,Not Found
TPM1,HGNC:12010,arrhythmogenic right ventricular cardiomyopathy,MONDO:0016587,AD,SOP7,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8e69d885-a5c6-48de-bb65-0943a6c2268d-2019-09-13T160000.000Z,2019-09-13T16:00:00.000Z,Arrhythmogenic Right Ventricular Cardiomyopathy Gene Curation Expert Panel,TPM1,HGNC:12010,chr15:63334946-63364114,chr15:63042747-63071915,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TPM1&subject=,2015-11-09T15:55:57Z,Not Found
STK11,HGNC:11389,familial ovarian cancer,MONDO:0016248,AD,SOP4,No Known Disease Relationship,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8708,2016-10-26T00:00:00,Breast/Ovarian Cancer Gene Curation Expert Panel,STK11,HGNC:11389,chr19:1205777-1228430,chr19:1205778-1228431,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=STK11&subject=,2021-11-10T18:01:07Z,Not Found
