,Gene Symbol,Gene ID (HGNC),Disease Label,Disease ID (MONDO),MOI_x,SOP,Classification,Online Report_x,Classification Date,GCEP,Gene/Region,HGNC/ISCA,GRCh37,GRCh38,Haploinsufficiency,Triplosensitivity,Online Report_y,Date,gene_symbol,gene_url,disease_label,mondo_id,disease_url,MOI_y
11,ALG2,HGNC:23159,ALG2-congenital disorder of glycosylation,MONDO:0011933,AR,SOP9,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f7cb8bd0-58b2-4644-a041-76f42f564fbc-2023-11-15T170000.000Z,2023-11-15T17:00:00.000Z,Congenital Disorders of Glycosylation Gene Curation Expert Panel,ALG2,HGNC:23159,chr9:101978707-101984224,chr9:99216425-99221942,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALG2&subject=,2016-08-22T17:45:56Z,ALG2,https://search.clinicalgenome.org/kb/genes/HGNC:23159,ALG2-congenital disorder of glycosylation,MONDO:0011933,https://search.clinicalgenome.org/kb/conditions/MONDO:0011933,Autosomal recessive inheritance
12,ALG2,HGNC:23159,ALG2-congenital disorder of glycosylation,MONDO:0011933,AR,SOP9,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_f7cb8bd0-58b2-4644-a041-76f42f564fbc-2023-11-15T170000.000Z,2023-11-15T17:00:00.000Z,Congenital Disorders of Glycosylation Gene Curation Expert Panel,ALG2,HGNC:23159,chr9:101978707-101984224,chr9:99216425-99221942,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALG2&subject=,2016-08-22T17:45:56Z,ALG2,https://search.clinicalgenome.org/kb/genes/HGNC:23159,congenital myasthenic syndrome 14,MONDO:0014543,https://search.clinicalgenome.org/kb/conditions/MONDO:0014543,
13,TRDN,HGNC:12261,long QT syndrome,MONDO:0002442,AR,SOP7,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1278bd6a-6ac7-4556-87ea-f860027b2da5-2020-04-24T160000.000Z,2020-04-24T16:00:00.000Z,Long QT Syndrome Gene Curation Expert Panel,TRDN,HGNC:12261,chr6:123537484-123958095,chr6:123216339-123636950,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TRDN&subject=,2016-08-22T17:52:59Z,TRDN,https://search.clinicalgenome.org/kb/genes/HGNC:12261,long QT syndrome,MONDO:0002442,https://search.clinicalgenome.org/kb/conditions/MONDO:0002442,Autosomal recessive inheritance
14,TRDN,HGNC:12261,long QT syndrome,MONDO:0002442,AR,SOP7,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1278bd6a-6ac7-4556-87ea-f860027b2da5-2020-04-24T160000.000Z,2020-04-24T16:00:00.000Z,Long QT Syndrome Gene Curation Expert Panel,TRDN,HGNC:12261,chr6:123537484-123958095,chr6:123216339-123636950,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TRDN&subject=,2016-08-22T17:52:59Z,TRDN,https://search.clinicalgenome.org/kb/genes/HGNC:12261,catecholaminergic polymorphic ventricular tachycardia,MONDO:0017990,https://search.clinicalgenome.org/kb/conditions/MONDO:0017990,Autosomal recessive inheritance
15,TRDN,HGNC:12261,long QT syndrome,MONDO:0002442,AR,SOP7,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1278bd6a-6ac7-4556-87ea-f860027b2da5-2020-04-24T160000.000Z,2020-04-24T16:00:00.000Z,Long QT Syndrome Gene Curation Expert Panel,TRDN,HGNC:12261,chr6:123537484-123958095,chr6:123216339-123636950,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TRDN&subject=,2016-08-22T17:52:59Z,TRDN,https://search.clinicalgenome.org/kb/genes/HGNC:12261,catecholaminergic polymorphic ventricular tachycardia 5,MONDO:0014191,https://search.clinicalgenome.org/kb/conditions/MONDO:0014191,
16,KCNQ1,HGNC:6294,short QT syndrome,MONDO:0000453,AD,SOP7,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5000dde0-156c-45b0-87db-35a935c69cb7-2020-10-27T160000.000Z,2020-10-27T16:00:00.000Z,Short QT Syndrome Gene Curation Expert Panel,KCNQ1,HGNC:6294,chr11:2466238-2870340,chr11:2445008-2849105,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KCNQ1&subject=,2020-10-13T16:21:49Z,KCNQ1,https://search.clinicalgenome.org/kb/genes/HGNC:6294,hypertrophic cardiomyopathy,MONDO:0005045,https://search.clinicalgenome.org/kb/conditions/MONDO:0005045,Autosomal dominant inheritance
17,KCNQ1,HGNC:6294,short QT syndrome,MONDO:0000453,AD,SOP7,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5000dde0-156c-45b0-87db-35a935c69cb7-2020-10-27T160000.000Z,2020-10-27T16:00:00.000Z,Short QT Syndrome Gene Curation Expert Panel,KCNQ1,HGNC:6294,chr11:2466238-2870340,chr11:2445008-2849105,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KCNQ1&subject=,2020-10-13T16:21:49Z,KCNQ1,https://search.clinicalgenome.org/kb/genes/HGNC:6294,Jervell and Lange-Nielsen syndrome,MONDO:0002441,https://search.clinicalgenome.org/kb/conditions/MONDO:0002441,Autosomal recessive inheritance
18,KCNQ1,HGNC:6294,short QT syndrome,MONDO:0000453,AD,SOP7,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5000dde0-156c-45b0-87db-35a935c69cb7-2020-10-27T160000.000Z,2020-10-27T16:00:00.000Z,Short QT Syndrome Gene Curation Expert Panel,KCNQ1,HGNC:6294,chr11:2466238-2870340,chr11:2445008-2849105,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KCNQ1&subject=,2020-10-13T16:21:49Z,KCNQ1,https://search.clinicalgenome.org/kb/genes/HGNC:6294,long QT syndrome,MONDO:0002442,https://search.clinicalgenome.org/kb/conditions/MONDO:0002442,Autosomal dominant inheritance
19,KCNQ1,HGNC:6294,short QT syndrome,MONDO:0000453,AD,SOP7,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5000dde0-156c-45b0-87db-35a935c69cb7-2020-10-27T160000.000Z,2020-10-27T16:00:00.000Z,Short QT Syndrome Gene Curation Expert Panel,KCNQ1,HGNC:6294,chr11:2466238-2870340,chr11:2445008-2849105,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KCNQ1&subject=,2020-10-13T16:21:49Z,KCNQ1,https://search.clinicalgenome.org/kb/genes/HGNC:6294,short QT syndrome,MONDO:0000453,https://search.clinicalgenome.org/kb/conditions/MONDO:0000453,Autosomal dominant inheritance
20,KCNQ1,HGNC:6294,short QT syndrome,MONDO:0000453,AD,SOP7,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5000dde0-156c-45b0-87db-35a935c69cb7-2020-10-27T160000.000Z,2020-10-27T16:00:00.000Z,Short QT Syndrome Gene Curation Expert Panel,KCNQ1,HGNC:6294,chr11:2466238-2870340,chr11:2445008-2849105,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KCNQ1&subject=,2020-10-13T16:21:49Z,KCNQ1,https://search.clinicalgenome.org/kb/genes/HGNC:6294,familial long QT syndrome,MONDO:0019171,https://search.clinicalgenome.org/kb/conditions/MONDO:0019171,
21,KCNQ1,HGNC:6294,short QT syndrome,MONDO:0000453,AD,SOP7,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5000dde0-156c-45b0-87db-35a935c69cb7-2020-10-27T160000.000Z,2020-10-27T16:00:00.000Z,Short QT Syndrome Gene Curation Expert Panel,KCNQ1,HGNC:6294,chr11:2466238-2870340,chr11:2445008-2849105,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KCNQ1&subject=,2020-10-13T16:21:49Z,KCNQ1,https://search.clinicalgenome.org/kb/genes/HGNC:6294,long QT syndrome 1,MONDO:0100316,https://search.clinicalgenome.org/kb/conditions/MONDO:0100316,
22,KCNQ1,HGNC:6294,hypertrophic cardiomyopathy,MONDO:0005045,AD,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5b44eee3-56ea-4596-8d3e-e4d5c0ad8d60-2022-05-09T160000.000Z,2022-05-09T16:00:00.000Z,Hereditary Cardiovascular Disease Gene Curation Expert Panel,KCNQ1,HGNC:6294,chr11:2466238-2870340,chr11:2445008-2849105,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KCNQ1&subject=,2020-10-13T16:21:49Z,KCNQ1,https://search.clinicalgenome.org/kb/genes/HGNC:6294,hypertrophic cardiomyopathy,MONDO:0005045,https://search.clinicalgenome.org/kb/conditions/MONDO:0005045,Autosomal dominant inheritance
23,KCNQ1,HGNC:6294,hypertrophic cardiomyopathy,MONDO:0005045,AD,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5b44eee3-56ea-4596-8d3e-e4d5c0ad8d60-2022-05-09T160000.000Z,2022-05-09T16:00:00.000Z,Hereditary Cardiovascular Disease Gene Curation Expert Panel,KCNQ1,HGNC:6294,chr11:2466238-2870340,chr11:2445008-2849105,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KCNQ1&subject=,2020-10-13T16:21:49Z,KCNQ1,https://search.clinicalgenome.org/kb/genes/HGNC:6294,Jervell and Lange-Nielsen syndrome,MONDO:0002441,https://search.clinicalgenome.org/kb/conditions/MONDO:0002441,Autosomal recessive inheritance
24,KCNQ1,HGNC:6294,hypertrophic cardiomyopathy,MONDO:0005045,AD,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5b44eee3-56ea-4596-8d3e-e4d5c0ad8d60-2022-05-09T160000.000Z,2022-05-09T16:00:00.000Z,Hereditary Cardiovascular Disease Gene Curation Expert Panel,KCNQ1,HGNC:6294,chr11:2466238-2870340,chr11:2445008-2849105,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KCNQ1&subject=,2020-10-13T16:21:49Z,KCNQ1,https://search.clinicalgenome.org/kb/genes/HGNC:6294,long QT syndrome,MONDO:0002442,https://search.clinicalgenome.org/kb/conditions/MONDO:0002442,Autosomal dominant inheritance
25,KCNQ1,HGNC:6294,hypertrophic cardiomyopathy,MONDO:0005045,AD,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5b44eee3-56ea-4596-8d3e-e4d5c0ad8d60-2022-05-09T160000.000Z,2022-05-09T16:00:00.000Z,Hereditary Cardiovascular Disease Gene Curation Expert Panel,KCNQ1,HGNC:6294,chr11:2466238-2870340,chr11:2445008-2849105,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KCNQ1&subject=,2020-10-13T16:21:49Z,KCNQ1,https://search.clinicalgenome.org/kb/genes/HGNC:6294,short QT syndrome,MONDO:0000453,https://search.clinicalgenome.org/kb/conditions/MONDO:0000453,Autosomal dominant inheritance
26,KCNQ1,HGNC:6294,hypertrophic cardiomyopathy,MONDO:0005045,AD,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5b44eee3-56ea-4596-8d3e-e4d5c0ad8d60-2022-05-09T160000.000Z,2022-05-09T16:00:00.000Z,Hereditary Cardiovascular Disease Gene Curation Expert Panel,KCNQ1,HGNC:6294,chr11:2466238-2870340,chr11:2445008-2849105,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KCNQ1&subject=,2020-10-13T16:21:49Z,KCNQ1,https://search.clinicalgenome.org/kb/genes/HGNC:6294,familial long QT syndrome,MONDO:0019171,https://search.clinicalgenome.org/kb/conditions/MONDO:0019171,
27,KCNQ1,HGNC:6294,hypertrophic cardiomyopathy,MONDO:0005045,AD,SOP8,Disputed,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5b44eee3-56ea-4596-8d3e-e4d5c0ad8d60-2022-05-09T160000.000Z,2022-05-09T16:00:00.000Z,Hereditary Cardiovascular Disease Gene Curation Expert Panel,KCNQ1,HGNC:6294,chr11:2466238-2870340,chr11:2445008-2849105,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KCNQ1&subject=,2020-10-13T16:21:49Z,KCNQ1,https://search.clinicalgenome.org/kb/genes/HGNC:6294,long QT syndrome 1,MONDO:0100316,https://search.clinicalgenome.org/kb/conditions/MONDO:0100316,
28,GCSH,HGNC:4208,glycine encephalopathy,MONDO:0011612,AR,SOP9,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d360db9d-24e7-415e-b4bc-59a2c6231189-2023-02-10T170000.000Z,2023-02-10T17:00:00.000Z,Aminoacidopathy Gene Curation Expert Panel,GCSH,HGNC:4208,chr16:81115550-81130000,chr16:81081945-81096395,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=GCSH&subject=,2016-08-22T17:48:52Z,GCSH,https://search.clinicalgenome.org/kb/genes/HGNC:4208,glycine encephalopathy,MONDO:0011612,https://search.clinicalgenome.org/kb/conditions/MONDO:0011612,Autosomal recessive inheritance
29,ACOX1,HGNC:119,Mitchell syndrome,MONDO:0030073,AD,SOP9,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2efeef00-0803-472b-8e25-080e4728c018-2022-12-29T170000.000Z,2022-12-29T17:00:00.000Z,Peroxisomal Disorders Gene Curation Expert Panel,ACOX1,HGNC:119,chr17:73937588-73975247,chr17:75941507-75979166,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACOX1&subject=,2014-11-20T14:37:29Z,ACOX1,https://search.clinicalgenome.org/kb/genes/HGNC:119,peroxisomal acyl-CoA oxidase deficiency,MONDO:0009919,https://search.clinicalgenome.org/kb/conditions/MONDO:0009919,Autosomal recessive inheritance
30,ACOX1,HGNC:119,Mitchell syndrome,MONDO:0030073,AD,SOP9,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2efeef00-0803-472b-8e25-080e4728c018-2022-12-29T170000.000Z,2022-12-29T17:00:00.000Z,Peroxisomal Disorders Gene Curation Expert Panel,ACOX1,HGNC:119,chr17:73937588-73975247,chr17:75941507-75979166,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACOX1&subject=,2014-11-20T14:37:29Z,ACOX1,https://search.clinicalgenome.org/kb/genes/HGNC:119,Mitchell syndrome,MONDO:0030073,https://search.clinicalgenome.org/kb/conditions/MONDO:0030073,Autosomal dominant inheritance
31,SETD2,HGNC:18420,SETD2-related microcephaly-severe intellectual disability-multiple congenital anomalies syndrome,MONDO:0035706,AD,SOP9,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_12443e12-a359-40fb-afbf-b334e9b87b1d-2023-10-04T160000.000Z,2023-10-04T16:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SETD2,HGNC:18420,chr3:47057926-47205603,chr3:47016436-47164840,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SETD2&subject=,2022-03-08T17:28:07Z,SETD2,https://search.clinicalgenome.org/kb/genes/HGNC:18420,SETD2-related neurodevelopmental disorder without or with macrocephaly/overgrowth,MONDO:0800477,https://search.clinicalgenome.org/kb/conditions/MONDO:0800477,Autosomal dominant inheritance
32,SETD2,HGNC:18420,SETD2-related microcephaly-severe intellectual disability-multiple congenital anomalies syndrome,MONDO:0035706,AD,SOP9,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_12443e12-a359-40fb-afbf-b334e9b87b1d-2023-10-04T160000.000Z,2023-10-04T16:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SETD2,HGNC:18420,chr3:47057926-47205603,chr3:47016436-47164840,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SETD2&subject=,2022-03-08T17:28:07Z,SETD2,https://search.clinicalgenome.org/kb/genes/HGNC:18420,SETD2-related microcephaly-severe intellectual disability-multiple congenital anomalies syndrome,MONDO:0035706,https://search.clinicalgenome.org/kb/conditions/MONDO:0035706,Autosomal dominant inheritance
33,SETD2,HGNC:18420,SETD2-related microcephaly-severe intellectual disability-multiple congenital anomalies syndrome,MONDO:0035706,AD,SOP9,Strong,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_12443e12-a359-40fb-afbf-b334e9b87b1d-2023-10-04T160000.000Z,2023-10-04T16:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SETD2,HGNC:18420,chr3:47057926-47205603,chr3:47016436-47164840,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SETD2&subject=,2022-03-08T17:28:07Z,SETD2,https://search.clinicalgenome.org/kb/genes/HGNC:18420,complex neurodevelopmental disorder,MONDO:0100038,https://search.clinicalgenome.org/kb/conditions/MONDO:0100038,
34,SETD2,HGNC:18420,SETD2-related neurodevelopmental disorder without or with macrocephaly/overgrowth,MONDO:0800477,AD,SOP9,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c8d0235a-b48e-4609-8c61-09586a83d1f2-2023-10-04T160000.000Z,2023-10-04T16:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SETD2,HGNC:18420,chr3:47057926-47205603,chr3:47016436-47164840,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SETD2&subject=,2022-03-08T17:28:07Z,SETD2,https://search.clinicalgenome.org/kb/genes/HGNC:18420,SETD2-related neurodevelopmental disorder without or with macrocephaly/overgrowth,MONDO:0800477,https://search.clinicalgenome.org/kb/conditions/MONDO:0800477,Autosomal dominant inheritance
