Gene/Region,Disease Label,SOP,GRCh38,Protein Name
SCN1A,developmental and epileptic encephalopathy,SOP7,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,developmental and epileptic encephalopathy,SOP7,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,familial hemiplegic migraine,SOP7,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,familial hemiplegic migraine,SOP7,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,familial hemiplegic migraine,SOP7,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,familial hemiplegic migraine,SOP7,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,familial hemiplegic migraine,SOP7,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,familial hemiplegic migraine,SOP7,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,generalized epilepsy with febrile seizures plus,SOP6,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,generalized epilepsy with febrile seizures plus,SOP6,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,generalized epilepsy with febrile seizures plus,SOP6,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,generalized epilepsy with febrile seizures plus,SOP6,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,generalized epilepsy with febrile seizures plus,SOP6,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
SCN1A,generalized epilepsy with febrile seizures plus,SOP6,chr2:165984641-166149161,Sodium channel protein type 1 subunit alpha
RINT1,hereditary breast carcinoma,SOP9,chr7:105532201-105567677,RAD50-interacting protein 1
RINT1,hereditary breast carcinoma,SOP9,chr7:105532201-105567677,RAD50-interacting protein 1
RINT1,familial ovarian cancer,SOP4,chr7:105532201-105567677,RAD50-interacting protein 1
RINT1,familial ovarian cancer,SOP4,chr7:105532201-105567677,RAD50-interacting protein 1
RYR2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:237042184-237833988,Ryanodine receptor 2
RYR2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:237042184-237833988,Ryanodine receptor 2
RYR2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:237042184-237833988,Ryanodine receptor 2
RYR2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:237042184-237833988,Ryanodine receptor 2
RYR2,hypertrophic cardiomyopathy,SOP9,chr1:237042184-237833988,Ryanodine receptor 2
RYR2,hypertrophic cardiomyopathy,SOP9,chr1:237042184-237833988,Ryanodine receptor 2
RYR2,hypertrophic cardiomyopathy,SOP9,chr1:237042184-237833988,Ryanodine receptor 2
RYR2,hypertrophic cardiomyopathy,SOP9,chr1:237042184-237833988,Ryanodine receptor 2
MUTYH,hereditary breast carcinoma,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,hereditary breast carcinoma,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,hereditary breast carcinoma,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,hereditary breast carcinoma,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,colorectal cancer,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,colorectal cancer,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,colorectal cancer,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,colorectal cancer,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,hereditary breast carcinoma,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,hereditary breast carcinoma,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,hereditary breast carcinoma,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,hereditary breast carcinoma,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,familial ovarian cancer,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,familial ovarian cancer,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,familial ovarian cancer,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,familial ovarian cancer,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,familial ovarian cancer,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,familial ovarian cancer,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,familial ovarian cancer,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
MUTYH,familial ovarian cancer,SOP9,chr1:45329242-45340440,Adenine DNA glycosylase
EPCAM,hereditary breast carcinoma,SOP9,chr2:47369311-47387020,Epithelial cell adhesion molecule
EPCAM,hereditary breast carcinoma,SOP9,chr2:47369311-47387020,Epithelial cell adhesion molecule
EPCAM,hereditary breast carcinoma,SOP9,chr2:47369311-47387020,Epithelial cell adhesion molecule
EPCAM,hereditary breast carcinoma,SOP9,chr2:47369311-47387020,Epithelial cell adhesion molecule
GEN1,hereditary breast carcinoma,SOP9,chr2:17753278-17788946,Flap endonuclease GEN homolog 1
GEN1,hereditary breast carcinoma,SOP9,chr2:17753278-17788946,Flap endonuclease GEN homolog 1
GEN1,familial ovarian cancer,SOP4,chr2:17753278-17788946,Flap endonuclease GEN homolog 1
GEN1,familial ovarian cancer,SOP4,chr2:17753278-17788946,Flap endonuclease GEN homolog 1
GJB6,nonsyndromic genetic hearing loss,SOP5,chr13:20221962-20232319,Gap junction beta-6 protein
GJB6,nonsyndromic genetic hearing loss,SOP5,chr13:20221962-20232319,Gap junction beta-6 protein
CNTNAP5,complex neurodevelopmental disorder,SOP10,chr2:124025287-124921219,Contactin-associated protein-like 5
SRPX2,epilepsy,SOP9,chrX:100644199-100675788,Sushi repeat-containing protein SRPX2
CHRNA7,epilepsy,SOP9,chr15:32030483-32173018,Neuronal acetylcholine receptor subunit alpha-7
MLH1,hereditary breast carcinoma,SOP10,chr3:36993466-37050846,DNA mismatch repair protein Mlh1
MLH1,hereditary breast carcinoma,SOP10,chr3:36993466-37050846,DNA mismatch repair protein Mlh1
MLH1,hereditary breast carcinoma,SOP10,chr3:36993466-37050846,DNA mismatch repair protein Mlh1
MLH1,hereditary breast carcinoma,SOP10,chr3:36993466-37050846,DNA mismatch repair protein Mlh1
MLH1,hereditary breast carcinoma,SOP10,chr3:36993466-37050846,DNA mismatch repair protein Mlh1
NBN,hereditary breast carcinoma,SOP9,chr8:89933331-89984667,Nibrin
NBN,hereditary breast carcinoma,SOP9,chr8:89933331-89984667,Nibrin
CHEK2,familial ovarian cancer,SOP10,chr22:28687743-28741834,Serine/threonine-protein kinase Chk2
CHEK2,familial ovarian cancer,SOP10,chr22:28687743-28741834,Serine/threonine-protein kinase Chk2
CHEK2,familial ovarian cancer,SOP10,chr22:28687743-28741834,Serine/threonine-protein kinase Chk2
CHEK2,familial ovarian cancer,SOP10,chr22:28687743-28741834,Serine/threonine-protein kinase Chk2
CHEK2,hereditary nonpolyposis colon cancer,SOP4,chr22:28687743-28741834,Serine/threonine-protein kinase Chk2
CHEK2,hereditary nonpolyposis colon cancer,SOP4,chr22:28687743-28741834,Serine/threonine-protein kinase Chk2
CHEK2,hereditary nonpolyposis colon cancer,SOP4,chr22:28687743-28741834,Serine/threonine-protein kinase Chk2
CHEK2,hereditary nonpolyposis colon cancer,SOP4,chr22:28687743-28741834,Serine/threonine-protein kinase Chk2
BRIP1,hereditary breast carcinoma,SOP9,chr17:61679139-61863528,Fanconi anemia group J protein
BRIP1,hereditary breast carcinoma,SOP9,chr17:61679139-61863528,Fanconi anemia group J protein
BRIP1,hereditary breast carcinoma,SOP9,chr17:61679139-61863528,Fanconi anemia group J protein
BRIP1,hereditary breast carcinoma,SOP9,chr17:61679139-61863528,Fanconi anemia group J protein
BRIP1,hereditary breast carcinoma,SOP9,chr17:61679139-61863528,Fanconi anemia group J protein
CPA6,epilepsy,SOP8,chr8:67422038-67746360,Carboxypeptidase A6
CPA6,epilepsy,SOP8,chr8:67422038-67746360,Carboxypeptidase A6
MRE11,familial ovarian cancer,SOP10,chr11:94415570-94512412,Double-strand break repair protein MRE11
MRE11,familial ovarian cancer,SOP10,chr11:94415570-94512412,Double-strand break repair protein MRE11
MRE11,hereditary breast carcinoma,SOP9,chr11:94415570-94512412,Double-strand break repair protein MRE11
MRE11,hereditary breast carcinoma,SOP9,chr11:94415570-94512412,Double-strand break repair protein MRE11
MSH2,hereditary breast carcinoma,SOP9,chr2:47403067-47709830,DNA mismatch repair protein Msh2
MSH2,hereditary breast carcinoma,SOP9,chr2:47403067-47709830,DNA mismatch repair protein Msh2
MSH2,hereditary breast carcinoma,SOP9,chr2:47403067-47709830,DNA mismatch repair protein Msh2
MSH2,hereditary breast carcinoma,SOP9,chr2:47403067-47709830,DNA mismatch repair protein Msh2
MSH2,hereditary breast carcinoma,SOP9,chr2:47403067-47709830,DNA mismatch repair protein Msh2
MSH2,hereditary breast carcinoma,SOP9,chr2:47403067-47709830,DNA mismatch repair protein Msh2
PIK3CA,hereditary breast carcinoma,SOP9,chr3:179148126-179240093,Phosphatidylinositol 4
PIK3CA,hereditary breast carcinoma,SOP9,chr3:179148126-179240093,Phosphatidylinositol 4
PIK3CA,hereditary breast carcinoma,SOP9,chr3:179148126-179240093,Phosphatidylinositol 4
PIK3CA,familial ovarian cancer,SOP4,chr3:179148126-179240093,Phosphatidylinositol 4
PIK3CA,familial ovarian cancer,SOP4,chr3:179148126-179240093,Phosphatidylinositol 4
PIK3CA,familial ovarian cancer,SOP4,chr3:179148126-179240093,Phosphatidylinositol 4
MYL2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr12:110910845-110921449,Myosin regulatory light chain 2
MYL2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr12:110910845-110921449,Myosin regulatory light chain 2
MYL2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr12:110910845-110921449,Myosin regulatory light chain 2
MYL2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr12:110910845-110921449,Myosin regulatory light chain 2
MYL2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr12:110910845-110921449,Myosin regulatory light chain 2
MYL2,dilated cardiomyopathy,SOP7,chr12:110910845-110921449,Myosin regulatory light chain 2
MYL2,dilated cardiomyopathy,SOP7,chr12:110910845-110921449,Myosin regulatory light chain 2
MYL2,dilated cardiomyopathy,SOP7,chr12:110910845-110921449,Myosin regulatory light chain 2
MYL2,dilated cardiomyopathy,SOP7,chr12:110910845-110921449,Myosin regulatory light chain 2
MYL2,dilated cardiomyopathy,SOP7,chr12:110910845-110921449,Myosin regulatory light chain 2
CRKL,congenital heart disease,SOP9,chr22:20917407-20953747,Crk-like protein
TNNT2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:201359014-201377680,Troponin T
TNNT2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:201359014-201377680,Troponin T
TNNT2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:201359014-201377680,Troponin T
TNNT2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:201359014-201377680,Troponin T
TNNT2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:201359014-201377680,Troponin T
TNNT2,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr1:201359014-201377680,Troponin T
TNNI3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr19:55151767-55157732,Troponin I
TNNI3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr19:55151767-55157732,Troponin I
TNNI3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr19:55151767-55157732,Troponin I
TNNI3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr19:55151767-55157732,Troponin I
TNNI3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr19:55151767-55157732,Troponin I
TNNI3,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr19:55151767-55157732,Troponin I
TNNI3,dilated cardiomyopathy,SOP7,chr19:55151767-55157732,Troponin I
TNNI3,dilated cardiomyopathy,SOP7,chr19:55151767-55157732,Troponin I
TNNI3,dilated cardiomyopathy,SOP7,chr19:55151767-55157732,Troponin I
TNNI3,dilated cardiomyopathy,SOP7,chr19:55151767-55157732,Troponin I
TNNI3,dilated cardiomyopathy,SOP7,chr19:55151767-55157732,Troponin I
TNNI3,dilated cardiomyopathy,SOP7,chr19:55151767-55157732,Troponin I
SDHC,mitochondrial disease,SOP8,chr1:161314381-161363206,Succinate dehydrogenase cytochrome b560 subunit
SDHC,mitochondrial disease,SOP8,chr1:161314381-161363206,Succinate dehydrogenase cytochrome b560 subunit
SDHC,mitochondrial disease,SOP8,chr1:161314381-161363206,Succinate dehydrogenase cytochrome b560 subunit
SDHC,mitochondrial disease,SOP8,chr1:161314381-161363206,Succinate dehydrogenase cytochrome b560 subunit
SDHC,hereditary pheochromocytoma-paraganglioma,SOP8,chr1:161314381-161363206,Succinate dehydrogenase cytochrome b560 subunit
SDHC,hereditary pheochromocytoma-paraganglioma,SOP8,chr1:161314381-161363206,Succinate dehydrogenase cytochrome b560 subunit
SDHC,hereditary pheochromocytoma-paraganglioma,SOP8,chr1:161314381-161363206,Succinate dehydrogenase cytochrome b560 subunit
SDHC,hereditary pheochromocytoma-paraganglioma,SOP8,chr1:161314381-161363206,Succinate dehydrogenase cytochrome b560 subunit
CHEK1,familial ovarian cancer,SOP4,chr11:125625136-125681124,Serine/threonine-protein kinase Chk1
CHEK1,familial ovarian cancer,SOP4,chr11:125625136-125681124,Serine/threonine-protein kinase Chk1
CHEK1,hereditary breast carcinoma,SOP4,chr11:125625136-125681124,Serine/threonine-protein kinase Chk1
CHEK1,hereditary breast carcinoma,SOP4,chr11:125625136-125681124,Serine/threonine-protein kinase Chk1
ACTC1,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr15:34790230-34795549,Actin
ACTC1,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr15:34790230-34795549,Actin
ACTC1,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr15:34790230-34795549,Actin
ACTC1,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr15:34790230-34795549,Actin
ACTC1,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr15:34790230-34795549,Actin
ACTC1,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr15:34790230-34795549,Actin
ACTC1,dilated cardiomyopathy,SOP7,chr15:34790230-34795549,Actin
ACTC1,dilated cardiomyopathy,SOP7,chr15:34790230-34795549,Actin
ACTC1,dilated cardiomyopathy,SOP7,chr15:34790230-34795549,Actin
ACTC1,dilated cardiomyopathy,SOP7,chr15:34790230-34795549,Actin
ACTC1,dilated cardiomyopathy,SOP7,chr15:34790230-34795549,Actin
ACTC1,dilated cardiomyopathy,SOP7,chr15:34790230-34795549,Actin
RECQL,familial ovarian cancer,SOP4,chr12:21468910-21501635,ATP-dependent DNA helicase Q1
RECQL,familial ovarian cancer,SOP4,chr12:21468910-21501635,ATP-dependent DNA helicase Q1
RECQL,hereditary breast carcinoma,SOP9,chr12:21468910-21501635,ATP-dependent DNA helicase Q1
RECQL,hereditary breast carcinoma,SOP9,chr12:21468910-21501635,ATP-dependent DNA helicase Q1
CTNNA1,hereditary nonpolyposis colon cancer,SOP4,chr5:138753425-138935034,Catenin alpha-1
CTNNA1,hereditary nonpolyposis colon cancer,SOP4,chr5:138753425-138935034,Catenin alpha-1
CTNNA1,hereditary nonpolyposis colon cancer,SOP4,chr5:138753425-138935034,Catenin alpha-1
NF1,familial ovarian cancer,SOP4,chr17:31094927-31377677,Neurofibromin
NF1,familial ovarian cancer,SOP4,chr17:31094927-31377677,Neurofibromin
CDH1,familial ovarian cancer,SOP4,chr16:68737292-68835537,Cadherin-1
CDH1,familial ovarian cancer,SOP4,chr16:68737292-68835537,Cadherin-1
CDH1,familial ovarian cancer,SOP4,chr16:68737292-68835537,Cadherin-1
MCPH1,familial ovarian cancer,SOP4,chr8:6406627-6648508,Microcephalin
MCPH1,familial ovarian cancer,SOP4,chr8:6406627-6648508,Microcephalin
MCPH1,familial ovarian cancer,SOP4,chr8:6406627-6648508,Microcephalin
MCPH1,familial ovarian cancer,SOP4,chr8:6406627-6648508,Microcephalin
MCPH1,hereditary breast carcinoma,SOP4,chr8:6406627-6648508,Microcephalin
MCPH1,hereditary breast carcinoma,SOP4,chr8:6406627-6648508,Microcephalin
MCPH1,hereditary breast carcinoma,SOP4,chr8:6406627-6648508,Microcephalin
MCPH1,hereditary breast carcinoma,SOP4,chr8:6406627-6648508,Microcephalin
TPM1,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr15:63042747-63071915,Tropomyosin alpha-1 chain
TPM1,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr15:63042747-63071915,Tropomyosin alpha-1 chain
TPM1,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr15:63042747-63071915,Tropomyosin alpha-1 chain
TPM1,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr15:63042747-63071915,Tropomyosin alpha-1 chain
TPM1,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr15:63042747-63071915,Tropomyosin alpha-1 chain
TPM1,dilated cardiomyopathy,SOP7,chr15:63042747-63071915,Tropomyosin alpha-1 chain
TPM1,dilated cardiomyopathy,SOP7,chr15:63042747-63071915,Tropomyosin alpha-1 chain
TPM1,dilated cardiomyopathy,SOP7,chr15:63042747-63071915,Tropomyosin alpha-1 chain
TPM1,dilated cardiomyopathy,SOP7,chr15:63042747-63071915,Tropomyosin alpha-1 chain
TPM1,dilated cardiomyopathy,SOP7,chr15:63042747-63071915,Tropomyosin alpha-1 chain
STK11,familial ovarian cancer,SOP4,chr19:1205778-1228431,Serine/threonine-protein kinase STK11
STK11,familial ovarian cancer,SOP4,chr19:1205778-1228431,Serine/threonine-protein kinase STK11
STK11,Peutz-Jeghers syndrome,SOP9,chr19:1205778-1228431,Serine/threonine-protein kinase STK11
STK11,Peutz-Jeghers syndrome,SOP9,chr19:1205778-1228431,Serine/threonine-protein kinase STK11
LRP2,congenital heart disease,SOP11,chr2:169127109-169362534,Low-density lipoprotein receptor-related protein 2
LRP2,congenital heart disease,SOP11,chr2:169127109-169362534,Low-density lipoprotein receptor-related protein 2
HBA1,"erythrocytosis, familial, 7",SOP10,chr16:176680-177522,Hemoglobin subunit alpha
HBA1,"erythrocytosis, familial, 7",SOP10,chr16:176680-177522,Hemoglobin subunit alpha
HBA1,"erythrocytosis, familial, 7",SOP10,chr16:176680-177522,Hemoglobin subunit alpha
HBA1,"erythrocytosis, familial, 7",SOP10,chr16:176680-177522,Hemoglobin subunit alpha
HBA1,unstable hemoglobin disease,SOP10,chr16:176680-177522,Hemoglobin subunit alpha
HBA1,unstable hemoglobin disease,SOP10,chr16:176680-177522,Hemoglobin subunit alpha
HBA1,unstable hemoglobin disease,SOP10,chr16:176680-177522,Hemoglobin subunit alpha
HBA1,unstable hemoglobin disease,SOP10,chr16:176680-177522,Hemoglobin subunit alpha
HBA1,"methemoglobinemia, alpha type",SOP9,chr16:176680-177522,Hemoglobin subunit alpha
HBA1,"methemoglobinemia, alpha type",SOP9,chr16:176680-177522,Hemoglobin subunit alpha
HBA1,"methemoglobinemia, alpha type",SOP9,chr16:176680-177522,Hemoglobin subunit alpha
HBA1,"methemoglobinemia, alpha type",SOP9,chr16:176680-177522,Hemoglobin subunit alpha
GLUL,congenital brain dysgenesis due to glutamine synthetase deficiency,SOP11,chr1:182378098-182391790,Glutamine synthetase
CACNA1C,long QT syndrome,SOP7,chr12:1970780-2697950,Voltage-dependent L-type calcium channel subunit alpha-1C
CACNA1C,long QT syndrome,SOP7,chr12:1970780-2697950,Voltage-dependent L-type calcium channel subunit alpha-1C
CACNA1C,long QT syndrome,SOP7,chr12:1970780-2697950,Voltage-dependent L-type calcium channel subunit alpha-1C
CACNA1C,long QT syndrome,SOP7,chr12:1970780-2697950,Voltage-dependent L-type calcium channel subunit alpha-1C
CACNA1C,Brugada syndrome,SOP5,chr12:1970780-2697950,Voltage-dependent L-type calcium channel subunit alpha-1C
CACNA1C,Brugada syndrome,SOP5,chr12:1970780-2697950,Voltage-dependent L-type calcium channel subunit alpha-1C
CACNA1C,Brugada syndrome,SOP5,chr12:1970780-2697950,Voltage-dependent L-type calcium channel subunit alpha-1C
CACNA1C,Brugada syndrome,SOP5,chr12:1970780-2697950,Voltage-dependent L-type calcium channel subunit alpha-1C
CACNA1C,short QT syndrome,SOP7,chr12:1970780-2697950,Voltage-dependent L-type calcium channel subunit alpha-1C
CACNA1C,short QT syndrome,SOP7,chr12:1970780-2697950,Voltage-dependent L-type calcium channel subunit alpha-1C
CACNA1C,short QT syndrome,SOP7,chr12:1970780-2697950,Voltage-dependent L-type calcium channel subunit alpha-1C
CACNA1C,short QT syndrome,SOP7,chr12:1970780-2697950,Voltage-dependent L-type calcium channel subunit alpha-1C
COL1A1,"Ehlers-Danlos syndrome, classic type, 1",SOP9,chr17:50184101-50201631,Collagen alpha-1(I) chain
COL1A1,"Ehlers-Danlos syndrome, classic type, 1",SOP9,chr17:50184101-50201631,Collagen alpha-1(I) chain
